subject,sentence,word,N400,N400base,surpSF,surpMYLM,surpGPT2,mylmSU,SU
subj_18,sent_19,lost,-1.121517897,-4.750476837,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_18,sent_19,control,-4.445990562,-7.947206974,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_18,sent_19,and,3.231542587,1.103896379,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_18,sent_19,laughed,0.857573032,3.194981575,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_19,sent_19,lost,3.532284498,-10.53376198,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_19,sent_19,control,0.222670779,-9.554830551,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_19,sent_19,and,-0.715334177,3.146109104,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_19,sent_19,laughed,3.51949954,2.699409485,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_20,sent_19,lost,-2.379637957,2.46856451,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_20,sent_19,control,-1.942218065,-1.091628671,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_20,sent_19,and,-1.772486806,3.926751614,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_20,sent_19,laughed,0.908425927,-5.885240078,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_21,sent_19,lost,-4.432918549,2.955238581,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_21,sent_19,control,-5.691940784,-1.310182452,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_21,sent_19,and,0.37811026,-2.327591896,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_21,sent_19,laughed,-4.353746414,6.203528404,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_22,sent_19,lost,5.580720901,1.592590332,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_22,sent_19,control,-2.498422384,1.215153813,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_22,sent_19,laughed,-4.680359364,1.119951487,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_23,sent_19,lost,2.096620321,-3.139295578,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_23,sent_19,control,-1.485169172,-2.281905413,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_23,sent_19,and,5.211327076,-1.191097379,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_23,sent_19,laughed,-2.191785574,-0.041508675,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_24,sent_19,lost,-0.218369484,-2.112362146,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_24,sent_19,control,-3.318170786,-2.560869694,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_24,sent_19,and,2.109182358,-4.33829546,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_24,sent_19,laughed,3.036882401,-1.385996699,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_1,sent_20,am,0.538516283,3.489965916,3.146936655,2.395446777,2.845949128,0.31871894,0.060245775
subj_1,sent_20,touched,1.1879884,-4.498497009,8.685287476,9.047132492,9.709348662,0.240280405,0.11517629
subj_1,sent_20,deeply,-5.689311981,-1.699846625,10.47953701,9.465281487,6.612885956,0.233833969,0.046418201
subj_1,sent_20,in,-4.741663456,8.060300827,2.815437317,2.979482174,5.972800297,0.306090713,0.034924313
subj_1,sent_20,places,0.118904404,-3.756137371,11.62763596,8.004388809,8.020204475,0.264039457,0.019087836
subj_2,sent_20,deeply,-2.349049807,3.79436636,10.47953701,9.465281487,6.612885956,0.233833969,0.046418201
subj_2,sent_20,in,0.123679981,1.107766986,2.815437317,2.979482174,5.972800297,0.306090713,0.034924313
subj_2,sent_20,places,2.336201429,-5.799390793,11.62763596,8.004388809,8.020204475,0.264039457,0.019087836
subj_3,sent_20,am,-2.101736546,-0.627786994,3.146936655,2.395446777,2.845949128,0.31871894,0.060245775
subj_3,sent_20,touched,1.085716605,2.653055668,8.685287476,9.047132492,9.709348662,0.240280405,0.11517629
subj_3,sent_20,deeply,-1.722009063,-0.213681564,10.47953701,9.465281487,6.612885956,0.233833969,0.046418201
subj_3,sent_20,in,0.902595162,3.593457222,2.815437317,2.979482174,5.972800297,0.306090713,0.034924313
subj_3,sent_20,places,2.125373602,-4.762840748,11.62763596,8.004388809,8.020204475,0.264039457,0.019087836
subj_4,sent_20,am,-6.128211975,4.916223049,3.146936655,2.395446777,2.845949128,0.31871894,0.060245775
subj_4,sent_20,deeply,-2.037013292,-0.369592577,10.47953701,9.465281487,6.612885956,0.233833969,0.046418201
subj_4,sent_20,in,-4.170238495,3.679351091,2.815437317,2.979482174,5.972800297,0.306090713,0.034924313
subj_4,sent_20,places,-5.278218746,-4.819727898,11.62763596,8.004388809,8.020204475,0.264039457,0.019087836
