"model","layer","n_layers","n_rows","beta","se","chi2","p","daic","sig","layer_pct"
"eleutherai_pythia_6.9b_deduped",21,32,45879,-0.0185376515528825,0.00123848893740766,217.966828692544,2.51118819763678e-49,215.966828692544,"***",0.67741935483871
"eleutherai_pythia_6.9b_deduped",22,32,45879,-0.0180691939382153,0.00118476584196158,226.232976178988,3.95272503535558e-51,224.232976178988,"***",0.709677419354839
"eleutherai_pythia_6.9b_deduped",23,32,45879,-0.0180456427351273,0.00117319982712816,230.04020036594,5.84218841061006e-52,228.04020036594,"***",0.741935483870968
"eleutherai_pythia_6.9b_deduped",24,32,45879,-0.0179314536273192,0.00115848136389756,232.936181353536,1.3646700187252e-52,230.936181353536,"***",0.774193548387097
"eleutherai_pythia_6.9b_deduped",25,32,45879,-0.0177283097024341,0.00114430951499814,233.314441518247,1.12860020354602e-52,231.314441518247,"***",0.806451612903226
"eleutherai_pythia_6.9b_deduped",26,32,45879,-0.0173549275800928,0.00114219107522916,224.710644294333,8.49024414846338e-51,222.710644294333,"***",0.838709677419355
"eleutherai_pythia_6.9b_deduped",27,32,45879,-0.0174946665581448,0.00115402788790917,223.763076255404,1.36644314819302e-50,221.763076255404,"***",0.870967741935484
"eleutherai_pythia_6.9b_deduped",28,32,45879,-0.0172489798233819,0.0011498914907922,219.397155543003,1.22427826954651e-49,217.397155543003,"***",0.903225806451613
"eleutherai_pythia_6.9b_deduped",29,32,45879,-0.0172520716465451,0.00116908952796941,212.546374956539,3.82238576526692e-48,210.546374956539,"***",0.935483870967742
"eleutherai_pythia_6.9b_deduped",30,32,45879,-0.0171289827000032,0.0011642212058936,211.410577397764,6.76273841330092e-48,209.410577397764,"***",0.967741935483871
"eleutherai_pythia_6.9b_deduped",31,32,45879,-0.0156692744734698,0.00105609309723685,214.738795109486,1.27071604129532e-48,212.738795109486,"***",1
"gpt2_large",0,36,45879,-0.005250192236304,0.00161075587346528,10.6150844249787,0.0011216883216739,8.6150844249787,"**",0
"gpt2_large",1,36,45879,-0.0222233395896916,0.00303268722241858,53.4217411643913,2.69102129506816e-13,51.4217411643913,"***",0.0285714285714286
"gpt2_large",2,36,45879,-0.0183867668505096,0.00254171471052401,52.0840951337304,5.31738835482719e-13,50.0840951337304,"***",0.0571428571428571
"gpt2_large",3,36,45879,-0.0170180036186228,0.00233201521543785,53.0032394792797,3.32998717638614e-13,51.0032394792797,"***",0.0857142857142857
"gpt2_large",4,36,45879,-0.0162514046268771,0.00223892081652057,52.4138528314652,4.49541684917667e-13,50.4138528314652,"***",0.114285714285714
"gpt2_large",5,36,45879,-0.016163369052613,0.00219896586686798,53.7166264919069,2.31595014936537e-13,51.7166264919069,"***",0.142857142857143
"gpt2_large",6,36,45879,-0.0156135442731553,0.00211675032377048,54.0961232222762,1.90917573515299e-13,52.0961232222762,"***",0.171428571428571
"gpt2_large",7,36,45879,-0.0142185699624519,0.00200077162991434,50.2279008748737,1.36887621740537e-12,48.2279008748737,"***",0.2
"gpt2_large",8,36,45879,-0.0137298672074267,0.00190032241642836,51.9337379207282,5.74055264863519e-13,49.9337379207282,"***",0.228571428571429
"gpt2_large",9,36,45879,-0.0126408007436853,0.00180116190383298,49.0211894924869,2.53212257819901e-12,47.0211894924869,"***",0.257142857142857
"gpt2_large",10,36,45879,-0.0129869730303433,0.00174686067210575,54.9829967625992,1.21577058352784e-13,52.9829967625992,"***",0.285714285714286
"gpt2_large",11,36,45879,-0.0130932834923716,0.0016765357182842,60.6231297574413,6.91171041754399e-15,58.6231297574413,"***",0.314285714285714
"gpt2_large",12,36,45879,-0.0131644130333395,0.0016378653111489,64.1559864051378,1.14948196599872e-15,62.1559864051378,"***",0.342857142857143
"gpt2_large",13,36,45879,-0.0134940368579023,0.00160932839888837,69.7677391252219,6.67151602664237e-17,67.7677391252219,"***",0.371428571428571
"gpt2_large",14,36,45879,-0.0137712227964813,0.00157662661082562,75.6575790642964,3.37378483788576e-18,73.6575790642964,"***",0.4
"gpt2_large",15,36,45879,-0.0144553242801165,0.00155494669380557,85.5849909377575,2.21953763760524e-20,83.5849909377575,"***",0.428571428571429
"gpt2_large",16,36,45879,-0.0152377995524283,0.001509656731683,100.734850416586,1.0515893672343e-23,98.7348504165857,"***",0.457142857142857
"gpt2_large",17,36,45879,-0.0154782880944813,0.00146752319472207,109.865956413691,1.04846125479916e-25,107.865956413691,"***",0.485714285714286
"gpt2_large",18,36,45879,-0.0153588219083395,0.0014455879754481,111.441967794555,4.73463582017722e-26,109.441967794555,"***",0.514285714285714
"gpt2_large",19,36,45879,-0.0152256664275628,0.00141508834424985,114.227865783905,1.16162502600478e-26,112.227865783905,"***",0.542857142857143
"gpt2_large",20,36,45879,-0.0155854491562295,0.00138921047397947,123.993124290078,8.45360236198577e-29,121.993124290078,"***",0.571428571428571
"gpt2_large",21,36,45879,-0.0157134875197055,0.00136228906786744,130.946567128718,2.5436169857389e-30,128.946567128718,"***",0.6
"gpt2_large",22,36,45879,-0.0156716043737266,0.00135276130446172,132.095451631263,1.42595411159038e-30,130.095451631263,"***",0.628571428571429
"gpt2_large",23,36,45879,-0.0159198857586443,0.00132946319961507,141.053211433435,1.5664144985857e-32,139.053211433435,"***",0.657142857142857
"gpt2_large",24,36,45879,-0.0162025085039239,0.00130983401319603,150.337912691466,1.4625158984315e-34,148.337912691466,"***",0.685714285714286
