stim_id,dataset,critical_word,word_length,word_position,zipf_freq,log10_word_freq,coltheart_n
1342,frank_2015,that,4,6,7.01,-1.9913997856601942,15
1343,frank_2015,smiled,6,1,3.86,-5.140201452519435,4
1344,frank_2015,at,2,2,6.7,-2.3001621874472375,24
1345,frank_2015,his,3,3,6.51,-2.4894548557519016,15
1346,frank_2015,little,6,4,5.75,-3.2502629116656445,2
1347,frank_2015,brother,7,5,5.11,-3.889406923089909,5
1348,frank_2015,hid,3,1,3.79,-5.2096444535856135,25
1349,frank_2015,the,3,2,7.73,-1.270025706213024,14
1350,frank_2015,boxes,5,3,4.34,-4.659536054814366,3
1351,frank_2015,and,3,4,7.41,-1.5900668597700878,15
1352,frank_2015,matches,7,5,4.59,-4.410039234435223,1
1353,frank_2015,well,4,6,6.03,-2.9706158164322867,29
1354,frank_2015,called,6,1,5.59,-3.4100492822374706,11
1355,frank_2015,out,3,2,6.38,-2.6197885773323977,22
1356,frank_2015,but,3,3,6.63,-2.3695720232666786,31
1357,frank_2015,she,3,4,6.26,-2.739928373391649,18
1358,frank_2015,did,3,5,5.96,-3.040004685471755,25
1359,frank_2015,not,3,6,6.69,-2.3098038313399685,35
1360,frank_2015,move,4,7,5.35,-3.6497500428555134,19
1361,frank_2015,do,2,1,6.35,-2.6497517877844152,33
1362,frank_2015,not,3,2,6.69,-2.3098038313399685,35
1363,frank_2015,spare,5,3,4.28,-4.718943895416496,21
1364,frank_2015,the,3,4,7.73,-1.270025706213024,14
1365,frank_2015,birds,5,5,4.6,-4.400106016141739,1
1366,frank_2015,a,1,6,7.36,-1.640164498695288,51
1367,frank_2015,killing,7,7,4.88,-4.119752502212281,9
1368,frank_2015,they,4,1,6.5,-2.5003127799466554,12
1369,frank_2015,want,4,2,6.04,-2.9586069200287892,26
1370,frank_2015,to,2,3,7.43,-1.570247703852816,37
1371,frank_2015,cut,3,4,5.24,-3.759448255779274,28
1372,frank_2015,things,6,5,5.74,-3.2596365208801434,1
1373,frank_2015,up,2,6,6.39,-2.61083373837245,7
1374,frank_2015,in,2,1,7.27,-1.7304870324329187,14
1375,frank_2015,the,3,2,7.73,-1.270025706213024,14
1376,frank_2015,wrong,5,3,5.39,-3.6108321430085466,4
1377,frank_2015,hands,5,4,5.16,-3.838629002640995,1
1378,frank_2015,is,2,5,7.07,-1.9318141011346535,16
1379,frank_2015,that,4,6,7.01,-1.9913997856601942,15
1380,frank_2015,will,4,1,6.45,-2.549750737675531,29
1381,frank_2015,be,2,2,6.79,-2.2097147655786795,23
1382,frank_2015,men,3,3,5.51,-3.4894536493803887,31
1383,frank_2015,to,2,4,7.43,-1.570247703852816,37
1384,frank_2015,kill,4,5,5.09,-3.9100913577255088,26
1385,frank_2015,either,6,6,5.33,-3.669584197242084,8
1386,frank_2015,way,3,7,6.01,-2.9913994024593875,46
1387,frank_2015,nodded,6,1,3.41,-5.58989792335714,5
1388,frank_2015,and,3,2,7.41,-1.5900668597700878,15
1389,frank_2015,walked,6,3,4.67,-4.329744867228396,2
1390,frank_2015,into,4,4,6.11,-2.8894099530384927,3
1391,frank_2015,the,3,5,7.73,-1.270025706213024,14
1392,frank_2015,room,4,6,5.39,-3.6108321430085466,18
1393,frank_2015,prison,6,1,4.8,-4.199963758172021,6
1394,frank_2015,guard,5,2,4.73,-4.270017626955226,1
1395,frank_2015,walked,6,3,4.67,-4.329744867228396,2
1396,frank_2015,along,5,4,5.38,-3.619786948731823,5
1397,frank_2015,the,3,0,7.73,-1.270025706213024,14
1398,frank_2015,row,3,6,4.6,-4.400106016141739,34
1399,frank_2015,slammed,7,1,3.62,-5.379759810154169,2
1400,frank_2015,the,3,2,7.73,-1.270025706213024,14
1401,frank_2015,knife,5,3,4.41,-4.590049978379491,0
1402,frank_2015,down,4,4,5.88,-3.1197576519119035,16
1403,frank_2015,on,2,5,6.91,-2.0899094009871795,21
1404,frank_2015,lamb,4,7,4.02,-4.978769341520297,8
1405,frank_2015,smiled,6,1,3.86,-5.140201452519435,4
1406,frank_2015,when,4,2,6.37,-2.630783956993964,14
1407,frank_2015,she,3,3,6.26,-2.739928373391649,18
1408,frank_2015,let,3,4,5.6,-3.4001158367355173,42
1409,frank_2015,out,3,5,6.38,-2.6197885773323977,22
1410,frank_2015,a,1,6,7.36,-1.640164498695288,51
1411,frank_2015,big,3,7,5.67,-3.329753218947205,27
1412,frank_2015,yawn,4,8,3.07,-5.931443104927637,14
1413,frank_2015,give,4,1,5.71,-3.2898817883110714,13
1414,frank_2015,me,2,2,6.48,-2.519992913236753,26
1415,frank_2015,a,1,3,7.36,-1.640164498695288,51
1416,frank_2015,lead,4,4,5.2,-3.801340164355023,24
1417,frank_2015,and,3,5,7.41,-1.5900668597700878,15
1418,frank_2015,I'll,4,6,5.43,-3.570246105522965,0
1419,frank_2015,follow,6,7,5.14,-3.860117766548703,4
1420,frank_2015,it,2,8,6.95,-2.050122247220762,13
1421,frank_2015,bored,5,1,4.2,-4.801315426922857,9
1422,frank_2015,looking,7,2,5.57,-3.429455892661387,7
1423,frank_2015,soldier,7,3,4.46,-4.540592432833052,0
1424,frank_2015,just,4,4,6.43,-2.5702475585498594,12
1425,frank_2015,pointed,7,5,4.46,-4.540592432833052,5
1426,frank_2015,is,2,1,7.07,-1.9318141011346535,16
1427,frank_2015,looking,7,2,5.57,-3.429455892661387,7
1428,frank_2015,for,3,3,7.01,-1.9913997856601942,29
1429,frank_2015,somewhere,9,4,4.74,-4.259629414314232,0
1430,frank_2015,to,2,5,7.43,-1.570247703852816,37
1431,frank_2015,live,4,6,5.54,-3.4596692736418175,24
1432,frank_2015,stepped,7,1,4.2,-4.801315426922857,2
1433,frank_2015,back,4,2,6.04,-2.9586069200287892,22
